Kecamatan,Trivia,Link Foto Kecamatan
Bungus Teluk Kabung,"Sebahagian besar areal perkebunan ini berdampingan dengan kawasan hutan lindung atau hutan negara serta hutan rakyat, yang masyarakat setempat menyebutnya tanah ulayat atau tanah adat.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Lubuak_hitam.jpg/375px-Lubuak_hitam.jpg
Koto Tangah,"Koto Tangah adalah kecamatan terbesar di Padang, mencakup hampir setengah dari area kota",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Stasiun_Tabing.jpg/390px-Stasiun_Tabing.jpg
Kuranji,Kecamatan ini terkenal karena istilah Harimau Kuranji yang terkenal sampai ke negeri Belanda,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Wali_Kota_Padang_dan_ribuan_warga_jalan_santai.jpg/375px-Wali_Kota_Padang_dan_ribuan_warga_jalan_santai.jpg
Lubuk Begalung,Pada kecamatan ini terdapat 1040 hektar hutan lindung,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Kantor_Camat_Lubuk_Begalung.jpg/1200px-Kantor_Camat_Lubuk_Begalung.jpg
Lubuk Kilangan,"Rumah bagi industri semen di Padang, karena pabrik semen terbesar di Sumatra, Semen Padang, terletak di sini.",https://lh5.googleusercontent.com/p/AF1QipN3JqkRU4Mj5u_pXynZPe9qcmGKI5gFNBOo3H1l=w408-h306-k-no
Nanggalo,"Sebuah kecamatan pusat dengan signifikansi historis, Nanggalo adalah rumah bagi sisa-sisa infrastruktur era Belanda, termasuk jalur kereta api yang dulunya menghubungkan Padang dengan daerah sekitarnya.",https://lh5.googleusercontent.com/p/AF1QipMfUYhnts6zpgtCooeSxgCK3aDpLr10Tddnu_Oe=w426-h240-k-no
Padang Barat,"Di wilayah administrasi kecamatan ini, kantor gubernur Sumatera Barat dan balai kota Padang lama berada. Terdapat juga Jembatan Siti Nurbaya yang menghubungkan Padang Barat dengan Padang Selatan",https://lh5.googleusercontent.com/p/AF1QipP8lwI5sf-IvUeQ8t96g3i4in8SHuaMzCZhbGh0=w426-h240-k-no
Padang Selatan,Pelabuhan Teluk Bayur sebelumnya bernama Emmahaven yang dibangun sejak zaman kolonial Belanda antara tahun 1888 sampai 1893. Pelabuhan ini berfungsi sebagai pintu gerbang antar pulau serta pintu gerbang arus keluar masuk barang ekspor-impor dari dan ke Sumatera Barat.,https://upload.wikimedia.org/wikipedia/commons/4/43/Teluk_Bayur_pelabuhan_kapal.jpg
Padang Timur,"Tugu Kereta Api "" Jerman Esslingen "" Simpang Haru merupakan monumen bersejarah yang mengenang kedatangan kereta api pertama di Sumatra Barat, yang diproduksi oleh pabrik Jerman Esslingen pada awal abad ke-20.",https://lh5.googleusercontent.com/p/AF1QipMq_RgEcearC_rWP6zb1H4EBf3WNfkfEfH41iyX=w426-h240-k-no
Padang Utara,"Lokasi dari salah satu rumah makan terbaik di Padang, RM Lamun Ombak, serta Masjid Raya Sumatera Barat",https://lh5.googleusercontent.com/p/AF1QipOjtH1F3dIPa_q_CFqrBKr0u03o0CCRSWdyr5kb=w426-h240-k-no
Pauh,Kecamatan ini terkenal dengan institusi pendidikannya dan merupakan rumah bagi Fakultas Kedokteran Universitas Andalas,https://lh5.googleusercontent.com/p/AF1QipNpQE2jm9yWKsEmqpcPCTYy-HvIWfIPvOJsWTuP=w408-h271-k-no